"Gene1","Gene2","cor","pvalue"
"KBTBD2","KBTBD2",1,0
"KBTBD2","SEPTIN7",0.700966355253001,3.15225870858785e-148
"KBTBD2","PURB",0.665617367796019,1.33069310614655e-128
"KBTBD2","CBX3",0.661637488630641,1.46624349799959e-126
"KBTBD2","AVL9",0.65331154971695,2.18030624520202e-122
"KBTBD2","VPS41",0.640514230442255,3.16202313578198e-116
"KBTBD2","CDK13",0.638767386397422,2.08122550259227e-115
"KBTBD2","YKT6",0.63397747875145,3.4296702751755e-113
"KBTBD2","KLHL7",0.630454746690339,1.38310631929052e-111
"KBTBD2","RBAK",0.607192777212006,1.74562074588544e-101
"KBTBD2","WIPI2",0.605617371601081,7.87028231221574e-101
"KBTBD2","SNX13",0.601465116334222,4.0030993241002e-99
"KBTBD2","RNF216",0.590465676176361,1.0085142522493e-94
"KBTBD2","USP42",0.590414795593037,1.05596361092843e-94
"KBTBD2","ZNF12",0.582795529930929,9.41911220208294e-92
"KBTBD2","TMED4",0.577233360813467,1.19961225653684e-89
"KBTBD2","PLEKHA8",0.572615502375702,6.25494409146837e-88
"KBTBD2","HUS1",0.568421781661426,2.1489499027962e-86
"KBTBD2","BAZ1B",0.564051908677303,8.11761500870216e-85
"KBTBD2","HNRNPA2B1",0.562890603690141,2.11166816473784e-84
"KBTBD2","HERPUD2",0.556810109916935,2.96434366609395e-82
"KBTBD2","PMS2",0.555537656362068,8.23563652831455e-82
"KBTBD2","MATR3",0.555409897177593,9.1232037726141e-82
"KBTBD2","NUDCD3",0.554956232241941,1.31169118510229e-81
"KBTBD2","MTPN",0.552536451566105,9.01172945609862e-81
"KBTBD2","ERCC6L2",0.552068399410058,1.30590453713019e-80
"KBTBD2","UMAD1",0.551853425063202,1.54817449555799e-80
"KBTBD2","MRM2",0.549975809437964,6.80871041697908e-80
"KBTBD2","TAX1BP1",0.549427499907018,1.04746200789727e-79
"KBTBD2","RALA",0.544466813371263,4.97708504572482e-78
"KBTBD2","EPC2",0.543970357966673,7.2987622780113e-78
"KBTBD2","ANKIB1",0.54392800463196,7.54086958113615e-78
"KBTBD2","AFF4",0.543440548553022,1.09745748144248e-77
"KBTBD2","DPY19L1",0.543255142530997,1.26561722848033e-77
"KBTBD2","CEP97",0.541881589374505,3.62898794631131e-77
"KBTBD2","DENND6A",0.539063196169977,3.10382784314569e-76
"KBTBD2","FAM168B",0.538801361993265,3.78481694001071e-76
"KBTBD2","TAOK1",0.537784336187046,8.16475020981186e-76
"KBTBD2","KLHDC10",0.537470982749573,1.0341646649429e-75
"KBTBD2","SP4",0.53685928202562,1.63929294582418e-75
"KBTBD2","HMGXB4",0.536423127285335,2.27539823323405e-75
"KBTBD2","POLR1F",0.536182924224976,2.72516425925888e-75
"KBTBD2","PTAR1",0.535280620231212,5.35906902356336e-75
"KBTBD2","FAM20B",0.534571257186742,9.10669621138195e-75
"KBTBD2","ZFP91",0.533914709874457,1.48593466649231e-74
"KBTBD2","KIDINS220",0.532957602768629,3.02792223150476e-74
"KBTBD2","ZKSCAN5",0.532383113080964,4.63691070271556e-74
"KBTBD2","RLIM",0.52745771934553,1.73188688738477e-72
"KBTBD2","VEZF1",0.527253227614163,2.010198988315e-72
"KBTBD2","KLHL20",0.527130854612186,2.1975951360176e-72
"KBTBD2","ANKRD40",0.526812278482522,2.77105032983787e-72
"KBTBD2","STARD3NL",0.525501821980642,7.17352295359963e-72
"KBTBD2","HP1BP3",0.525274275557534,8.45817307185038e-72
"KBTBD2","THAP5",0.524649856469328,1.32838606378233e-71
"KBTBD2","CBLL1",0.524404015093502,1.58634837830946e-71
"KBTBD2","LTN1",0.522783713476342,5.09100034494651e-71
"KBTBD2","C5orf24",0.522191362251909,7.78488635553705e-71
"KBTBD2","CLASP1",0.521518930784489,1.25949314196241e-70
"KBTBD2","RC3H2",0.520080176261033,3.5130673445956e-70
"KBTBD2","ZNF316",0.519970936979977,3.79685221897367e-70
"KBTBD2","G3BP2",0.519532593209162,5.18414690474881e-70
"KBTBD2","KRIT1",0.519525132177439,5.21167992282369e-70
"KBTBD2","UBE3C",0.517946554655913,1.59371665358893e-69
"KBTBD2","SP3",0.517207802378394,2.6835610727875e-69
"KBTBD2","PRKAR1A",0.516154961828734,5.6268447726148e-69
"KBTBD2","PHTF2",0.515872006676614,6.8626470573323e-69
"KBTBD2","NCAPG2",0.515537602834504,8.67544958795555e-69
"KBTBD2","FBXW11",0.51499268305968,1.27038580492684e-68
"KBTBD2","COA1",0.513393973172799,3.87416476904984e-68
"KBTBD2","MMGT1",0.512651389723389,6.48976155706705e-68
"KBTBD2","TSNAX",0.51227526597171,8.42366269024932e-68
"KBTBD2","CRCP",0.510943887006001,2.11503777432722e-67
"KBTBD2","TRIM23",0.510411894371514,3.05198792826297e-67
"KBTBD2","RNF20",0.509624033150208,5.24724035896286e-67
"KBTBD2","YAE1",0.509367476227972,6.25800815411768e-67
"KBTBD2","GPATCH8",0.509211571050067,6.96458308677512e-67
"KBTBD2","UBXN2A",0.508170232038221,1.42099503999259e-66
"KBTBD2","CGGBP1",0.508035819751592,1.5577191273402e-66
"KBTBD2","VPS50",0.507145026899958,2.86053095860383e-66
"KBTBD2","ERCC4",0.505196088553151,1.07456946468068e-65
"KBTBD2","RBBP5",0.504338240354309,1.9189222898046e-65
"KBTBD2","E2F6",0.502980820309395,4.78705099043072e-65
"KBTBD2","SUN1",0.502645497250788,5.99606382932349e-65
"KBTBD2","SMC5",0.502613048709486,6.1280769214384e-65
"KBTBD2","VKORC1L1",0.502365075651935,7.23716874083575e-65
"KBTBD2","ZSCAN25",0.502299461455176,7.56266387500847e-65
"KBTBD2","EXOC4",0.502253583493633,7.79886606620896e-65
"KBTBD2","YWHAG",0.501447006559571,1.33820328173047e-64
"KBTBD2","CENPL",0.500771172239022,2.10145513809963e-64
"KBTBD2","AKAP11",0.500603527638765,2.35001464707765e-64
"KBTBD2","CNOT4",0.500547842167313,2.43888485635939e-64
"KBTBD2","KDM5A",0.500460906434231,2.58435934650989e-64
"KBTBD2","BBS9",0.500087175842294,3.31465429864886e-64
"KBTBD2","NUP42",0.499964707132809,3.59606763794549e-64
"KBTBD2","SMAD5",0.499240941930937,5.81674407284467e-64
"KBTBD2","PIKFYVE",0.499114061086881,6.32763597994618e-64
"KBTBD2","POLK",0.498995475905651,6.84539731994085e-64
"KBTBD2","ANKMY2",0.498865498565847,7.46142522808067e-64
"KBTBD2","ROCK2",0.498338847784969,1.0575241413013e-63
"KBTBD2","HNRNPK",0.497710216902782,1.60229674550626e-63
"KBTBD2","CDC5L",0.497656216554291,1.66045293012795e-63
"KBTBD2","MTMR6",0.497283677550503,2.12309701857292e-63
"KBTBD2","VPS45",0.49702394329901,2.51949373835425e-63
"KBTBD2","USP37",0.496921249999337,2.6958108216845e-63
"KBTBD2","SYNJ1",0.49668261304154,3.15438388799756e-63
"KBTBD2","CKAP5",0.496597093985551,3.33695912137261e-63
"KBTBD2","FOXJ3",0.496512375567967,3.5281872006202e-63
"KBTBD2","RP9",0.495406721355705,7.29073332762205e-63
"KBTBD2","TULP3",0.494527354096084,1.29614393117429e-62
"KBTBD2","TMEM209",0.494281392151884,1.52200398319012e-62
