"Gene1","Gene2","cor","pvalue"
"KBTBD2","KBTBD2",1,0
"KBTBD2","IGF1R",0.40986618440931,1.12725617856737e-41
"KBTBD2","FURIN",0.402395315853948,4.26630556394696e-40
"KBTBD2","IRS2",0.38782537409993,3.92559214629145e-37
"KBTBD2","CPD",0.348951163134155,6.3524380773705e-30
"KBTBD2","CNPY2",0.325113759543883,5.62902023075991e-26
"KBTBD2","IGF2BP1",0.265094055359825,1.6995622489969e-17
"KBTBD2","DCUN1D1",0.260789183045619,5.79054363265503e-17
"KBTBD2","DHRS7",0.235538417365678,4.91658244226472e-14
"KBTBD2","CCDC134",0.234110551915937,7.03981424923743e-14
"KBTBD2","THAP3",0.234105809299592,7.04818509141406e-14
"KBTBD2","MAP2K6",0.231721732825029,1.276692540788e-13
"KBTBD2","MBD3",0.224215750028211,7.94043158245411e-13
"KBTBD2","MOK",0.218682704683448,2.93139382250296e-12
"KBTBD2","ABHD13",0.216839689303475,4.49436685862938e-12
"KBTBD2","INSR",0.216604604215326,4.74484637192218e-12
"KBTBD2","PIK3CA",0.213031443747323,1.07373512043267e-11
"KBTBD2","SOX11",0.207328321463691,3.838128008671e-11
"KBTBD2","ATP2C1",0.206364870658065,4.74266192673661e-11
"KBTBD2","GATA6",0.205193813117243,6.1252709699043e-11
"KBTBD2","NT5C3A",0.203839111669201,8.21916073091662e-11
"KBTBD2","ZC2HC1A",0.200240117788043,1.7774968389121e-10
"KBTBD2","KDM7A",0.198742880423256,2.43971811355608e-10
"KBTBD2","PHOX2B",0.19857490681974,2.52756483235673e-10
"KBTBD2","CLGN",0.197768465543047,2.99413220526261e-10
"KBTBD2","PIM3",0.195958324659798,4.36792538700191e-10
"KBTBD2","TCF7L2",0.195887631300104,4.43249863271581e-10
"KBTBD2","CHD3",0.195590774642461,4.71396067991819e-10
"KBTBD2","MSTN",0.194982078895743,5.34661784141808e-10
"KBTBD2","PAIP2",0.194465758180714,5.9474972610016e-10
"KBTBD2","IL18",0.193989212000121,6.56015158722196e-10
"KBTBD2","HPGDS",0.193343798421271,7.48876547974265e-10
"KBTBD2","WSB2",0.192458880134626,8.97267706004937e-10
"KBTBD2","DDX53",0.192304434908468,9.25948335769448e-10
"KBTBD2","MAPKAPK2",0.189704115819557,1.56660937908859e-09
"KBTBD2","BMPR1A",0.18894715716339,1.8232301913833e-09
"KBTBD2","IRS1",0.18873877246985,1.90077447365478e-09
"KBTBD2","MPHOSPH9",0.188372731198072,2.04482322482162e-09
"KBTBD2","WDR11",0.1882291587557,2.10417632563879e-09
"KBTBD2","HSPB11",0.187869243310794,2.26042766950966e-09
"KBTBD2","RAB4A",0.187678418967968,2.34779073062289e-09
"KBTBD2","OAT",0.185158019612051,3.85988192318385e-09
"KBTBD2","MYCN",0.185114958197704,3.89257576226755e-09
"KBTBD2","RAB22A",0.182390674446545,6.61023981013381e-09
