"Gene1","Gene2","cor","pvalue"
"KBTBD2","KBTBD2",1,0
"KBTBD2","IGF1R",0.431649675798142,1.64516518761304e-46
"KBTBD2","IRS2",0.427063000617052,1.83708328272564e-45
"KBTBD2","FURIN",0.386823484833362,6.19867295540734e-37
"KBTBD2","CPD",0.331878742776907,4.62570354062035e-27
"KBTBD2","CNPY2",0.300747407248381,2.7346497310389e-22
"KBTBD2","RAD21L1",0.271877445051658,2.3523435939594e-18
"KBTBD2","MOK",0.24825662517851,1.80897509335947e-15
"KBTBD2","RAB4A",0.239629424640414,1.7349925114254e-14
"KBTBD2","CLGN",0.238914639033556,2.0842327585056e-14
"KBTBD2","NT5C3A",0.238837394498159,2.12587669817203e-14
"KBTBD2","IL18",0.238678071113141,2.21436876405427e-14
"KBTBD2","MPHOSPH9",0.234218509567041,6.85188374885063e-14
"KBTBD2","DNAI4",0.233735779328321,7.73231934297714e-14
"KBTBD2","DCUN1D1",0.232793960095395,9.78140117388485e-14
"KBTBD2","EDIL3",0.232421887750062,1.073025925508e-13
"KBTBD2","NDST3",0.229985146925574,1.9598778384553e-13
"KBTBD2","ABHD13",0.228948250489263,2.52728259033912e-13
"KBTBD2","IGF2BP1",0.226235365419577,4.88683674299144e-13
"KBTBD2","PAIP2",0.225509489014547,5.82144764703621e-13
"KBTBD2","PSAT1",0.22482344317751,6.86472691986084e-13
"KBTBD2","EIF3M",0.219457266176927,2.44667842896037e-12
"KBTBD2","MSI2",0.2192404008635,2.57385842119346e-12
"KBTBD2","GRM7",0.219008932550865,2.7167447211011e-12
"KBTBD2","MAP2K6",0.218557231123561,3.01830017131633e-12
"KBTBD2","UTS2B",0.215092311580593,6.71575704461755e-12
"KBTBD2","HPGDS",0.214715293669719,7.3203822087982e-12
"KBTBD2","FAM9A",0.213947926896667,8.72008453631353e-12
"KBTBD2","SAR1B",0.212548580769693,1.19770185560948e-11
"KBTBD2","CARD8",0.211001318390489,1.69682053175858e-11
"KBTBD2","MED27",0.210092080785697,2.07967788508344e-11
"KBTBD2","POLA2",0.20995660008233,2.14352133557057e-11
"KBTBD2","LST1",0.20798209450017,3.32277726731737e-11
"KBTBD2","TMC5",0.207845964103341,3.42418169502065e-11
"KBTBD2","KIF6",0.205990314327607,5.14789664734246e-11
"KBTBD2","ACADSB",0.205907817125604,5.24159452909375e-11
"KBTBD2","C11orf65",0.205501800563635,5.72755558904995e-11
"KBTBD2","CCDC171",0.20537965844662,5.88216913821064e-11
"KBTBD2","SAXO1",0.204541635647029,7.05852008825828e-11
"KBTBD2","WSB2",0.204049387986516,7.85350410725576e-11
"KBTBD2","ZGRF1",0.203922135944017,8.07284309683747e-11
"KBTBD2","BMPR1A",0.20389574798916,8.11906995693268e-11
"KBTBD2","ATP5MC3",0.203309073445169,9.21619755396187e-11
"KBTBD2","BTG4",0.202797672408008,1.02896296150298e-10
"KBTBD2","MANBAL",0.202753971427501,1.03868220641789e-10
"KBTBD2","CHD3",0.202249195586672,1.15764948533251e-10
"KBTBD2","FAM200B",0.202191678344375,1.17202141518528e-10
"KBTBD2","MSTN",0.201909880609522,1.24498944346862e-10
"KBTBD2","ZNF415",0.201584487351021,1.33476976252661e-10
"KBTBD2","ADH5",0.200967835223464,1.52256646026815e-10
"KBTBD2","HAUS6",0.200579536270234,1.65379652599639e-10
"KBTBD2","FAM47C",0.199697711972696,1.99414170243144e-10
"KBTBD2","RLN1",0.199362443503998,2.14071437680773e-10
"KBTBD2","KLHL13",0.199178547035099,2.2255192934334e-10
"KBTBD2","USP53",0.199074041788458,2.27516343974334e-10
"KBTBD2","ZC2HC1A",0.199061871687995,2.28101446239409e-10
"KBTBD2","ITGA9",0.198524196324643,2.55468628156381e-10
"KBTBD2","DCT",0.19765187805689,3.06818233244012e-10
"KBTBD2","RPL37A",0.19736491929395,3.2581315863525e-10
"KBTBD2","CD276",0.197166556052799,3.396087842026e-10
"KBTBD2","HSPB11",0.196957551644152,3.54760367200573e-10
"KBTBD2","TUBD1",0.19643480658719,3.95599495494875e-10
"KBTBD2","PARPBP",0.195584850252606,4.71975144993712e-10
"KBTBD2","GTF2B",0.195579894330309,4.72460091997286e-10
"KBTBD2","HSP90B1",0.195519623942296,4.78396671676013e-10
"KBTBD2","DUS4L",0.195483118289121,4.82027729045747e-10
"KBTBD2","ZNF83",0.195340727685552,4.96449118028611e-10
"KBTBD2","BCO1",0.195271032480665,5.03660295084799e-10
"KBTBD2","OSBPL1A",0.195264152890682,5.04377618025124e-10
"KBTBD2","ZNF816",0.195031404939946,5.2924114245212e-10
"KBTBD2","BTBD9",0.195001399984509,5.32532095906653e-10
"KBTBD2","HFM1",0.193849939386912,6.75052597626444e-10
"KBTBD2","TAF7L",0.193544707006542,7.18676669545099e-10
"KBTBD2","CLEC3A",0.193162488809897,7.77188918253121e-10
"KBTBD2","PLPPR5",0.192939423168844,8.1345446603259e-10
"KBTBD2","DUXA",0.192149679793299,9.55581151057247e-10
"KBTBD2","P2RY12",0.191921002260817,1.00106580408501e-09
"KBTBD2","PCDHB10",0.191528028753799,1.08419974569179e-09
"KBTBD2","IL12RB2",0.191343227727114,1.12558198511171e-09
"KBTBD2","OTOR",0.191211536412945,1.15600558330335e-09
"KBTBD2","ME1",0.191175764057486,1.16440709804964e-09
"KBTBD2","C16orf74",0.190359894124373,1.37299106836218e-09
"KBTBD2","ABHD2",0.190123030213745,1.44007483529194e-09
"KBTBD2","TUSC3",0.189570327221392,1.60925347324645e-09
"KBTBD2","C18orf63",0.189486107082331,1.63667507183768e-09
"KBTBD2","HOXD10",0.189111669613276,1.76419407429304e-09
"KBTBD2","PCDHA12",0.189021126376734,1.79645192628795e-09
"KBTBD2","RHCG",0.187519012832828,2.42327966445984e-09
"KBTBD2","ZNF528",0.186230760717247,3.12636706570171e-09
"KBTBD2","LRRIQ3",0.185633871852345,3.5159073192973e-09
"KBTBD2","CA10",0.185094846973618,3.90793700539636e-09
"KBTBD2","ZNF181",0.184680890593461,4.23753113037335e-09
"KBTBD2","IRS1",0.184418763477817,4.46004216975357e-09
"KBTBD2","MPV17L",0.184106086132424,4.74033674509696e-09
"KBTBD2","ZNF558",0.184078606342331,4.76577304030032e-09
"KBTBD2","RBM22",0.18282595636967,6.07720838745983e-09
"KBTBD2","DHRS7",0.182639476313572,6.30024742984953e-09
"KBTBD2","DENND2C",0.18248726485112,6.48817391838353e-09
"KBTBD2","KIAA1210",0.181854200160156,7.32988357196749e-09
"KBTBD2","SEC22A",0.181827953830185,7.3669771540888e-09
"KBTBD2","ZC3H14",0.181751201695639,7.4764987749568e-09
