Gene1,Gene2,cor,pvalue
NDUFB9,KBTBD2,0.115661065964314,0.000252470416761015
ENY2,KBTBD2,0.113788029327231,0.000318115355599815
NSMCE2,KBTBD2,0.105961721725855,0.000805160475627305
TUBB6,KBTBD2,0.104750698673123,0.0009246513616763
ACTR1A,KBTBD2,0.102911468800487,0.00113781082136463
WASHC5,KBTBD2,0.101377592696134,0.00134933988248761
SYNGR1,KBTBD2,0.0966202456591918,0.00225710673075218
PPDPFL,KBTBD2,0.0935998105539956,0.00309409594225486
RBPMS2,KBTBD2,0.0935444192534331,0.00311179273884473
LAPTM4B,KBTBD2,0.0932908895972158,0.00319397407765913
LDB1,KBTBD2,0.0928769635038166,0.00333240100381361
PF4V1,KBTBD2,0.0927368877032255,0.00338046718443199
BOC,KBTBD2,0.0921249904350006,0.0035979130660362
RNF139,KBTBD2,0.0918284426856427,0.00370779955122832
OCA2,KBTBD2,0.0914845242765667,0.00383904882208664
PLXND1,KBTBD2,0.0904827847788482,0.00424571020505707
PRDX1,KBTBD2,0.0904682404928742,0.00425189158916366
CAT,KBTBD2,0.090448394777952,0.00426033925029144
PRTG,KBTBD2,0.0896934447584147,0.00459320213141938
CD207,KBTBD2,0.0895047829705345,0.00467997612380978
MRPL43,KBTBD2,0.089429255482042,0.00471512799642809
UQCRB,KBTBD2,0.0890777606541227,0.00488188017736766
CYP11B1,KBTBD2,0.0890152062437956,0.00491210881263194
H2BW2,KBTBD2,0.0877200167834625,0.00557719263902634
CPEB1,KBTBD2,0.0872388958928686,0.00584422108452891
SUFU,KBTBD2,0.086597568074139,0.00621804816827638
ANK1,KBTBD2,0.0859337032420433,0.00662752283422634
GATB,KBTBD2,0.0858280591535409,0.00669487181723597
SLC5A12,KBTBD2,0.0855996666439698,0.00684257776436923
CHST10,KBTBD2,0.0854372364195638,0.00694939671845041
SCPEP1,KBTBD2,0.0853413221709557,0.00701317281885615
ZNF714,KBTBD2,0.0852307293449943,0.00708736018724271
ADSL,KBTBD2,0.0850152149638431,0.00723395490071016
TBX15,KBTBD2,0.0848113890934091,0.00737509297521668
EPHA5,KBTBD2,0.084639864028961,0.00749577032970006
ACAT1,KBTBD2,0.0846225729816262,0.00750803310377807
FBLN5,KBTBD2,0.0844277848684053,0.00764742248391766
ADCY9,KBTBD2,0.0839134352958403,0.00802668548511566
DDB1,KBTBD2,0.0833031184623816,0.00849846248111169
SIX3,KBTBD2,0.0832618185020222,0.00853126428774176
TCTN3,KBTBD2,0.0832303388690259,0.00855634232385664
AVPR1A,KBTBD2,0.0831663673662814,0.00860750762813808
GNG11,KBTBD2,0.0830846758212226,0.00867324261941862
SYDE1,KBTBD2,0.0829599349786386,0.00877448273574593
CMTM3,KBTBD2,0.0829411061330215,0.00878985553334104
DIP2C,KBTBD2,0.082633793052842,0.0090441800715559
BNC2,KBTBD2,0.0826291090006557,0.00904810671602086
C2orf88,KBTBD2,0.0826018655986881,0.00907097502199134
UROD,KBTBD2,0.0824497629187646,0.00919960048571739
HECW2,KBTBD2,0.0823837456282966,0.00925593197258603
FAT4,KBTBD2,0.0823348494934269,0.00929785216268519
CACNA1G,KBTBD2,0.0821598509680425,0.00944927331913647
LIN7A,KBTBD2,0.0816839678154197,0.00987220595140711
PYGL,KBTBD2,0.0814989930995457,0.0100410913218096
ARMH3,KBTBD2,0.0813266424305335,0.010200757826
WASHC2A,KBTBD2,0.0809063821063007,0.0105995873255647
STRADB,KBTBD2,0.0808830777939226,0.0106221030736998
CERCAM,KBTBD2,0.080652912609059,0.010846771389655
CNPY4,KBTBD2,0.0805780653595576,0.0109207344915992
COL9A2,KBTBD2,0.0804300099588718,0.0110683603526767
TSPAN10,KBTBD2,0.0802697677606999,0.0112301299201719
NAGA,KBTBD2,0.0798704645658469,0.0116423944817604
HOXD9,KBTBD2,0.0795145875891617,0.0120210645472945
COMMD9,KBTBD2,0.07937220589972,0.0121755928549589
GRINA,KBTBD2,0.0791781168883835,0.0123890696559695
UROS,KBTBD2,0.079137833660814,0.0124337893903459
COX6C,KBTBD2,0.0790792310254653,0.0124991009753754
PCGF6,KBTBD2,0.0789633405573263,0.0126291524573405
VSTM4,KBTBD2,0.0789505553908894,0.0126435728839919
NTAQ1,KBTBD2,0.078742012872055,0.0128808520038848
CCDC8,KBTBD2,0.0785399225764047,0.0131145343157396
CUEDC2,KBTBD2,0.0785123248037886,0.0131467351304533
SCARA3,KBTBD2,0.0782248587837537,0.013486320799624
CNNM2,KBTBD2,0.0781923772888074,0.0135251739000103
B4GAT1,KBTBD2,0.0780342629509078,0.0137157178227831
MLIP,KBTBD2,0.0779542201256709,0.013813077118782
TAF2,KBTBD2,0.0777461316892712,0.0140690400779249
FRMD7,KBTBD2,0.0777288112058108,0.014090532699974
A1BG,KBTBD2,0.0776402666952901,0.0142008583342107
STARD8,KBTBD2,0.077594281614446,0.0142584550083742
TRIM6,KBTBD2,0.0774665963642886,0.0144194621131963
EML1,KBTBD2,0.0774455039472025,0.0144462125125838
SALL1,KBTBD2,0.0773692546153183,0.014543280383468
PRELP,KBTBD2,0.0772254964820639,0.0147278519800537
POLR2E,KBTBD2,0.0770859090241288,0.0149090382769143
HSD17B14,KBTBD2,0.077083325253318,0.0149124104475355
RRS1,KBTBD2,0.0770138000543226,0.0150034025424319
MTA3,KBTBD2,0.0769637379676435,0.0150692240824528
TUBB4A,KBTBD2,0.076963285858813,0.0150698196695745
PLAAT1,KBTBD2,0.0768798858525746,0.0151800417174129
PGLS,KBTBD2,0.0768550312059202,0.0152130266060754
CYC1,KBTBD2,0.0768130844099962,0.0152688376150665
TXN2,KBTBD2,0.0767933606997064,0.0152951425456751
GPR142,KBTBD2,0.0767763613254529,0.0153178460644498
CCDC106,KBTBD2,0.0763555110288803,0.0158894369149772
MAMSTR,KBTBD2,0.0763314681753229,0.0159226497304148
RTL8B,KBTBD2,0.0763117493103419,0.0159499348643387
OR2C3,KBTBD2,0.0761843463160633,0.0161272147120127
ARMC1,KBTBD2,0.0761071078501833,0.0162355311580848
CD99L2,KBTBD2,0.0760874931038078,0.0162631396051633
TMCO5A,KBTBD2,0.0759592695842439,0.0164446356284532
NCAM1,KBTBD2,0.0759522229528854,0.0164546611942831
EVL,KBTBD2,0.0759097373089541,0.0165152211452903
CDH23,KBTBD2,0.0759012493425807,0.0165273434749157
FAM171A2,KBTBD2,0.0758340124674369,0.0166236457659427
CRISPLD1,KBTBD2,0.075726284270603,0.0167789689408234
DSCC1,KBTBD2,0.075588882017871,0.0169789213639308
