"Gene1","Gene2","cor","pvalue"
"KBTBD2","PLEKHA2",0.728445390935882,0.00313016756691994
"KBTBD2","GTPBP6",0.629627142574461,0.015824398052762
"KBTBD2","MLXIP",0.561973046823458,0.036478183023747
"KBTBD2","CRLF2",0.559672996016839,0.0374205077165807
"KBTBD2","MUC5AC",0.556852911687605,0.038600240613128
"KBTBD2","UNC93B1",0.537270949335769,0.0475605150063549
"KBTBD2","CCDC168",0.501683155976287,0.0675798244265713
"KBTBD2","KRTAP6-3",0.482338702048923,0.0806813087292868
"KBTBD2","FAM205C",0.467754650003359,0.0916731364103587
"KBTBD2","CCDC196",0.458346091369445,0.0992940076223242
"KBTBD2","H2BC12",0.454837611106839,0.102244778820861
"KBTBD2","ZAN",0.449177725196698,0.10713159026641
"KBTBD2","UQCRHL",0.436316372569203,0.118827342489755
"KBTBD2","HMCN2",0.420987910873961,0.133864614309117
"KBTBD2","ZNF735",0.408377180838202,0.147154120140988
"KBTBD2","EFCAB10",0.403520000555931,0.152497890735605
"KBTBD2","SLC35F4",0.394880611516127,0.162316106473454
"KBTBD2","KCNJ12",0.385769804414431,0.173108830179628
"KBTBD2","CEACAM20",0.374550361950337,0.187024974366541
"KBTBD2","PVALEF",0.348632662582444,0.22184632136762
"KBTBD2","PRKDC",0.342301518132483,0.230924506195538
"KBTBD2","DHRSX",0.339627655871877,0.234826285324779
"KBTBD2","BAHCC1",0.331272897326625,0.247277261339389
"KBTBD2","SMIM10L1",0.328260707368904,0.251862719033399
"KBTBD2","CDC14C",0.322313524083892,0.261066136186799
"KBTBD2","HIGD2B",0.315540375604963,0.271790096196836
"KBTBD2","ZNF487",0.313611160062016,0.274891792798216
"KBTBD2","C20orf203",0.305051876766885,0.288904586216686
"KBTBD2","ZBED1",0.30495009450893,0.289073685003531
"KBTBD2","LRRC53",0.301143233095647,0.295439853577912
"KBTBD2","MARCOL",0.301103355877242,0.295506967591738
"KBTBD2","SARM1",0.298772076224225,0.299445945467246
"KBTBD2","SCAMP1",0.294931021139503,0.306001804222988
"KBTBD2","GABRR3",0.277655895871739,0.336494537653321
"KBTBD2","ERVH48-1",0.262727834775012,0.364155718321998
"KBTBD2","BTBD19",0.255267945381359,0.378426353602131
"KBTBD2","UBXN8",0.253904037717654,0.381067351157031
"KBTBD2","APOL4",0.252384492639674,0.384021249947651
"KBTBD2","TXNRD3",0.247692097622048,0.39321934470913
"KBTBD2","SERPINB11",0.242390545264093,0.403749345765923
"KBTBD2","ANKRD40CL",0.238095530124245,0.412386359163495
"KBTBD2","ETDC",0.23117833133873,0.426493937301309
"KBTBD2","NPRL3",0.222764251126441,0.443978001822051
"KBTBD2","FER1L5",0.218991970534718,0.451930145682043
"KBTBD2","CROCC2",0.21828131567243,0.453436018555767
"KBTBD2","TEX48",0.217826347382033,0.454401382481024
"KBTBD2","PPP1R9B",0.211679340532178,0.467542250521445
"KBTBD2","POLDIP2",0.204945278028315,0.4821448579023
"KBTBD2","C4orf54",0.191929338677754,0.510966015184146
"KBTBD2","CFAP54",0.189819313496492,0.515710509114392
"KBTBD2","FBLL1",0.188954904225285,0.517659887977188
"KBTBD2","TMSB4Y",0.185673792306859,0.525089299647023
"KBTBD2","ANKRD18B",0.183047309882941,0.531070352213359
"KBTBD2","TTLL8",0.182527700473705,0.532257155856151
"KBTBD2","TMEM225B",0.181157930581868,0.535391328888703
"KBTBD2","ECSCR",0.180280441203116,0.537403347795551
