"Gene1","Gene2","cor","pvalue"
"KLHL4","KLHL4",1,0
"KLHL4","EDIL3",0.452687062756598,1.57877167375728e-51
"KLHL4","NEXN",0.433073868151705,7.71843330603763e-47
"KLHL4","ADAMTS12",0.42776629016661,1.27201966280282e-45
"KLHL4","SERPINE1",0.42655710369512,2.39180580507497e-45
"KLHL4","GLIPR1",0.425477694484983,4.1935882363461e-45
"KLHL4","CUL4B",0.425018136226921,5.32280634350605e-45
"KLHL4","PRKCA",0.420162683135607,6.46415782773223e-44
"KLHL4","LOXL2",0.418084044473473,1.85923980131361e-43
"KLHL4","TFPI",0.414948185763373,9.02510415059787e-43
"KLHL4","GLIS3",0.414835298496177,9.55028130363016e-43
"KLHL4","LACTB",0.414048196074096,1.41588072113316e-42
"KLHL4","AXL",0.411275420569575,5.62128629992359e-42
"KLHL4","AOX1",0.41013852909051,9.85679129851582e-42
"KLHL4","ARSJ",0.408491014880475,2.21571236524205e-41
"KLHL4","RTN4",0.40418292962503,1.80348410220241e-40
"KLHL4","IL6ST",0.403756216635152,2.21605788643703e-40
"KLHL4","GFPT2",0.400629724690142,9.9346043936615e-40
"KLHL4","LOX",0.398101403879956,3.30361008264167e-39
"KLHL4","TRAM2",0.396493171284807,7.05632988892126e-39
"KLHL4","CD99L2",0.395526051805139,1.11149058352856e-38
"KLHL4","SPOCD1",0.395380369354103,1.19007261848784e-38
"KLHL4","NRP1",0.393516219169272,2.84375654999414e-38
"KLHL4","SLC22A4",0.389778644454394,1.60375637502428e-37
"KLHL4","GBE1",0.388529832598849,2.84443843899021e-37
"KLHL4","FAT4",0.386973650765627,5.78904262589475e-37
"KLHL4","TGFB2",0.386335488916792,7.73895932788764e-37
"KLHL4","BEND6",0.385249971265779,1.26619126530021e-36
"KLHL4","NMT2",0.384465959274575,1.80479662126095e-36
"KLHL4","GPR176",0.383856676946096,2.37554327504552e-36
"KLHL4","TICAM2",0.383689474461324,2.56134039666527e-36
"KLHL4","NME7",0.382608643298043,4.16310577486879e-36
"KLHL4","ILK",0.380210625013172,1.21514310720809e-35
"KLHL4","TFE3",0.3791359453152,1.95819350224913e-35
"KLHL4","DAB2",0.378152446526494,3.02567431655179e-35
"KLHL4","EMP3",0.37789674452962,3.38723917373489e-35
"KLHL4","CSF1",0.377764871824478,3.59014221743181e-35
"KLHL4","HEG1",0.37605588325015,7.61184148059353e-35
"KLHL4","YIPF5",0.375670360784744,9.01252631952158e-35
"KLHL4","MYLK",0.375575427394038,9.39496552598757e-35
"KLHL4","NAV3",0.374895906122779,1.26447464676168e-34
"KLHL4","COL6A1",0.372277947785064,3.94545369985003e-34
"KLHL4","CPA4",0.370270163001644,9.37639381216959e-34
"KLHL4","ACO1",0.369552938746309,1.27551856394978e-33
"KLHL4","WDR44",0.36655547934646,4.57723668159065e-33
"KLHL4","FLNA",0.36568719109122,6.6108019619517e-33
"KLHL4","DPY19L1",0.365550645647866,7.00351303479923e-33
"KLHL4","DSEL",0.365457448515386,7.2847483751175e-33
"KLHL4","CCL2",0.364789230878068,9.65707110904255e-33
"KLHL4","DPYSL3",0.364612596623915,1.04030329045473e-32
"KLHL4","DPYD",0.364569435528884,1.059383124541e-32
"KLHL4","MCFD2",0.363931961544231,1.38512984651719e-32
"KLHL4","IKBIP",0.363834450534365,1.44303912934311e-32
"KLHL4","GNA12",0.363613072126889,1.58357397943707e-32
"KLHL4","PDCD1LG2",0.36310865270805,1.95651169000076e-32
"KLHL4","GALNT10",0.36294407755431,2.09610259717958e-32
"KLHL4","TRPC1",0.362379661321706,2.65415363048783e-32
"KLHL4","CDH2",0.362297466112324,2.74686826133987e-32
"KLHL4","MSANTD3",0.361551282730035,3.7498213712582e-32
"KLHL4","COL6A2",0.361062412022114,4.595960532223e-32
"KLHL4","GEM",0.360359636618403,6.15371279470583e-32
"KLHL4","ARF4",0.360036362591394,7.03623484261116e-32
"KLHL4","ABCA1",0.35893218073065,1.11079812945495e-31
"KLHL4","SYNPO",0.358359758183104,1.40645810370379e-31
"KLHL4","NNMT",0.357233403851759,2.23454244849648e-31
"KLHL4","VIM",0.357202070481778,2.26344665181701e-31
"KLHL4","LGALS1",0.356527846026941,2.98348331845854e-31
"KLHL4","ANXA5",0.356166756943139,3.45817671486951e-31
"KLHL4","SYNJ2",0.355217232638228,5.09415432833577e-31
"KLHL4","SMPD1",0.35377063051477,9.1677890588565e-31
"KLHL4","MOSPD1",0.353439968000057,1.04811841137351e-30
"KLHL4","P3H1",0.352523164728155,1.51797896817528e-30
"KLHL4","MOXD1",0.352465584901153,1.5536406962289e-30
"KLHL4","VEGFC",0.352193887540347,1.73344040815685e-30
"KLHL4","KLHL5",0.351185868836483,2.59984921556482e-30
"KLHL4","CALU",0.350061928351158,4.07830048932058e-30
"KLHL4","ITGA11",0.349830848169971,4.4728248197892e-30
"KLHL4","MAP4",0.349690602642561,4.73047120661739e-30
"KLHL4","PGRMC2",0.34925591886204,5.62616625475492e-30
"KLHL4","PTX3",0.348980716486527,6.27812205452743e-30
"KLHL4","FAM114A1",0.348636565748305,7.19963028332138e-30
"KLHL4","SEC22B",0.348525320186255,7.52525500337055e-30
"KLHL4","ITGAV",0.348385063324097,7.95666736779121e-30
"KLHL4","PRSS23",0.348212375011443,8.52162394000841e-30
"KLHL4","ITGB1",0.347943810319117,9.48017987428503e-30
"KLHL4","ITGA5",0.347535441904314,1.11461134355289e-29
"KLHL4","PTGFR",0.347459566258623,1.14861679994805e-29
"KLHL4","ATP10D",0.347345420647083,1.20171947552458e-29
"KLHL4","MAP7D1",0.345699143006146,2.30137647891423e-29
"KLHL4","BDNF",0.345329184390521,2.66176523045629e-29
"KLHL4","CALHM5",0.344785490227356,3.29510046296441e-29
"KLHL4","COL1A1",0.344172109608509,4.19014686874624e-29
"KLHL4","FBN1",0.343741827262776,4.95790967914455e-29
"KLHL4","LAMP2",0.343523441582927,5.39933778593938e-29
"KLHL4","CREB3L1",0.343376949667181,5.71704338077107e-29
"KLHL4","PDGFC",0.342623477466574,7.66794426058521e-29
"KLHL4","TLR4",0.342593608816459,7.7575806682878e-29
"KLHL4","ZEB1",0.341768264794641,1.06900483655829e-28
"KLHL4","RAB8B",0.341631346814802,1.12730166346197e-28
"KLHL4","CCDC80",0.340828786641802,1.53808385272957e-28
"KLHL4","F2R",0.340413632423132,1.80562468176148e-28
"KLHL4","ADAMTSL1",0.340382775216909,1.8272583492117e-28
"KLHL4","SPOCK1",0.34008491659974,2.04974014944603e-28
"KLHL4","CAV1",0.339782794693318,2.3028005398669e-28
"KLHL4","MAP1B",0.339146760525108,2.94109131918146e-28
"KLHL4","BMPER",0.337366012298832,5.81667752197272e-28
"KLHL4","ADAM9",0.337085793799419,6.47297035579941e-28
"KLHL4","GNAI2",0.336045043022216,9.61887838287086e-28
"KLHL4","ACSL4",0.335862837973575,1.03079552621268e-27
"KLHL4","COL8A1",0.335846624259457,1.03715916662216e-27
