"Gene1","Gene2","cor","pvalue"
"KLHL4","KLHL4",1,0
"KLHL4","TRPM3",0.515108899824341,1.17120655697322e-68
"KLHL4","LPL",0.425252826267478,4.71277413311757e-45
"KLHL4","SMCP",0.409868788077608,1.12581140486357e-41
"KLHL4","FGF12",0.403723814098898,2.25096950522261e-40
"KLHL4","OPRD1",0.392427429105948,4.71776995161263e-38
"KLHL4","IL5RA",0.365636902423251,6.75282706675083e-33
"KLHL4","KRBA2",0.351758260901396,2.06568777240335e-30
"KLHL4","USH2A",0.344473247315862,3.7241122893888e-29
"KLHL4","PIR",0.341522102303169,1.17606530807183e-28
"KLHL4","RNF112",0.340391700381361,1.82097475374754e-28
"KLHL4","LNX2",0.337280819441309,6.00890609155209e-28
"KLHL4","RNF144A",0.337138912722234,6.34316726448232e-28
"KLHL4","POMGNT1",0.324892689123324,6.10150578588453e-26
"KLHL4","KLK15",0.324074778178161,8.21661262829612e-26
"KLHL4","FOXI1",0.32307321532025,1.18149490163151e-25
"KLHL4","GPRC5B",0.320764687774686,2.71489185311109e-25
"KLHL4","HYAL3",0.312398464458494,5.2124413885854e-24
"KLHL4","PCDHGA8",0.312369135174763,5.26584883619582e-24
"KLHL4","RNF113B",0.31210726648061,5.76733210453594e-24
"KLHL4","PCDHA10",0.311832735318765,6.34379725280254e-24
"KLHL4","KCNJ15",0.30257170994682,1.48839684465214e-22
"KLHL4","SLC26A1",0.297803263005495,7.23250444964323e-22
"KLHL4","SNAP47",0.296512938828776,1.10375015618094e-21
"KLHL4","EBF2",0.292613497501997,3.90845790584909e-21
"KLHL4","CRYBB1",0.290093061104371,8.75866962767004e-21
"KLHL4","ARR3",0.289016970287279,1.23305260212357e-20
"KLHL4","HS3ST5",0.286305413793681,2.90034534844209e-20
"KLHL4","MTMR7",0.281093210112975,1.46270233914511e-19
"KLHL4","SLC26A6",0.279890763141041,2.11428597781639e-19
"KLHL4","GORAB",0.277295261741743,4.65443603947047e-19
"KLHL4","SST",0.276472384265796,5.96700212707534e-19
"KLHL4","PCSK4",0.276359941644465,6.17263163904343e-19
"KLHL4","ZIC4",0.275281310118343,8.53636019519843e-19
"KLHL4","GNAL",0.271033262887461,3.01799446111927e-18
"KLHL4","NPNT",0.27016202693059,3.89946054437232e-18
"KLHL4","VGLL4",0.269771314557893,4.37300454030394e-18
"KLHL4","GPR141",0.268839935647129,5.74256462734009e-18
"KLHL4","TRH",0.265036557121467,1.72787508157385e-17
"KLHL4","IGFBP5",0.263554887106428,2.64124360721073e-17
"KLHL4","H1-0",0.263458903289354,2.71460915902005e-17
"KLHL4","RTP4",0.26098617590563,5.47734932807483e-17
