"Gene1","Gene2","cor","pvalue"
"KLHL4","KLHL4",1,0
"KLHL4","CYP2R1",0.233892788859945,7.43441700622939e-14
"KLHL4","MAGED2",0.226996085301646,4.06532588341455e-13
"KLHL4","DNAAF6",0.21493823956701,6.9566969841155e-12
"KLHL4","CLTA",0.21340612407328,9.86276247226268e-12
"KLHL4","SPANXN4",0.206452533603951,4.65241673552334e-11
"KLHL4","NRG1",0.205276582932666,6.01581254126047e-11
"KLHL4","ATXN3L",0.204170490686988,7.65017394204508e-11
"KLHL4","CAPZA3",0.203221474057422,9.39197027404251e-11
"KLHL4","STX17",0.200922037960201,1.53749907777419e-10
"KLHL4","ZNF221",0.196271913315708,4.0923691475351e-10
"KLHL4","TSTD2",0.195561310437801,4.7428289149496e-10
"KLHL4","NANOGNB",0.194952394089048,5.37950003608059e-10
"KLHL4","TENT5D",0.190799059767963,1.25656791882493e-09
"KLHL4","ACMSD",0.190618198162872,1.3033016010228e-09
"KLHL4","CYP39A1",0.19005058386147,1.4612223687874e-09
"KLHL4","UPP1",0.187733899036674,2.32205785356778e-09
"KLHL4","CHRNA3",0.187698413067891,2.33848522203575e-09
"KLHL4","CCDC122",0.184275979653574,4.58598093638786e-09
"KLHL4","TOGARAM1",0.184071600864325,4.77227874922441e-09
"KLHL4","LRRC40",0.181334823834767,8.09876361288603e-09
"KLHL4","SHF",0.1811334716388,8.41743704466855e-09
"KLHL4","CASP6",0.179219854403111,1.21208518291759e-08
"KLHL4","ZBTB14",0.178231522623949,1.46100528721036e-08
"KLHL4","MGME1",0.17799658625301,1.52710115865584e-08
"KLHL4","EQTN",0.176659690400156,1.96213400617769e-08
"KLHL4","CCDC91",0.176418161316934,2.05261553648103e-08
"KLHL4","REM2",0.176207287402518,2.13490962920989e-08
"KLHL4","DIS3L2",0.175968069213529,2.23213860700169e-08
"KLHL4","TSC22D1",0.174870617599968,2.7359929092961e-08
"KLHL4","MN1",0.174164682872019,3.11659331209042e-08
"KLHL4","DNAJC2",0.173501944203188,3.52026040621395e-08
"KLHL4","MIPEP",0.173348119891731,3.62095302843611e-08
"KLHL4","GFY",0.172456292216649,4.26205330390116e-08
"KLHL4","TMEM245",0.170969499652942,5.58253007071947e-08
"KLHL4","CFAP47",0.170850076509347,5.70429227928026e-08
"KLHL4","IZUMO4",0.170292031327089,6.30816020270831e-08
"KLHL4","SLFN14",0.170250467648239,6.3555315014534e-08
"KLHL4","CCNG2",0.170211704327832,6.40002115825533e-08
"KLHL4","CDIP1",0.169281947632436,7.56205151112925e-08
"KLHL4","ACSS2",0.168865158125971,8.14689988740674e-08
"KLHL4","C22orf42",0.16855855092171,8.60481525621377e-08
"KLHL4","SPRYD7",0.168264337199514,9.06755638315966e-08
"KLHL4","REEP3",0.168205230422464,9.16337883032379e-08
"KLHL4","RERGL",0.16798542360009,9.52838668147443e-08
"KLHL4","POR",0.16739073685566,1.05877548925788e-07
"KLHL4","CMC2",0.167009813080532,1.13252015975411e-07
"KLHL4","ITGB3BP",0.166677557302928,1.20087496704665e-07
"KLHL4","RD3L",0.166367132930392,1.26832838321862e-07
"KLHL4","C15orf48",0.166100835718758,1.32909724664116e-07
"KLHL4","GCG",0.165160389741337,1.56702890960112e-07
"KLHL4","UBE2E2",0.164992389323219,1.61365560923919e-07
"KLHL4","RBM7",0.164463736324002,1.76928162022867e-07
"KLHL4","CAPNS2",0.164395329474698,1.7904483617568e-07
"KLHL4","HSBP1L1",0.164350068407089,1.8045873817491e-07
"KLHL4","SMCO2",0.164239701403806,1.83951801322001e-07
"KLHL4","ERI2",0.163513683927896,2.08610827761476e-07
"KLHL4","PCLAF",0.163502177306954,2.09026230242823e-07
"KLHL4","ZNF587B",0.163185876399148,2.20762730367729e-07
"KLHL4","MRPL48",0.162386722822735,2.53317785795674e-07
"KLHL4","NAP1L2",0.162172370444607,2.62808870989123e-07
"KLHL4","FAM104A",0.161698706508153,2.85013364138125e-07
"KLHL4","ITPRID1",0.161132259053676,3.13947337203725e-07
"KLHL4","IMMT",0.160922141988541,3.25383915721632e-07
"KLHL4","NOL3",0.160489540690063,3.50208130888098e-07
"KLHL4","ZNF182",0.160269935066224,3.63498631203092e-07
"KLHL4","ATAD1",0.159976707302195,3.82004443996173e-07
"KLHL4","ELAVL4",0.159653688948089,4.03440922041741e-07
"KLHL4","HIPK3",0.159629493475141,4.05092443893328e-07
"KLHL4","GADD45GIP1",0.159397862063562,4.21236209389568e-07
"KLHL4","MITD1",0.159253683520687,4.31595937498822e-07
"KLHL4","NRG3",0.159047265865855,4.4685598147784e-07
"KLHL4","KITLG",0.158825737739401,4.63810973260341e-07
"KLHL4","GFM2",0.158638599474425,4.78615125108683e-07
"KLHL4","ZNF726",0.158633509570778,4.79024067294048e-07
"KLHL4","MRPL11",0.158473458064624,4.920562394553e-07
"KLHL4","MAP6",0.157982814918757,5.34169119477066e-07
"KLHL4","ZDHHC23",0.15750254955964,5.7873954925821e-07
"KLHL4","PXT1",0.157470058231933,5.81880786523545e-07
"KLHL4","CIB1",0.157422520026616,5.86506332650235e-07
"KLHL4","ZNF343",0.157249290674923,6.03663150596574e-07
"KLHL4","NHLRC3",0.156368340695334,6.98658686857458e-07
"KLHL4","LGALS2",0.15624809660884,7.12690928335247e-07
"KLHL4","CST9L",0.156182353443246,7.2047726252833e-07
"KLHL4","ZFAND2A",0.156122083097729,7.27687270250185e-07
"KLHL4","GHR",0.156033924003871,7.38358692944229e-07
"KLHL4","SERPINA10",0.155480223107908,8.08905528380463e-07
"KLHL4","HS3ST3B1",0.155448349963815,8.13157888867328e-07
"KLHL4","AP1S2",0.155086012747932,8.63035721580121e-07
"KLHL4","ATPAF1",0.154927786445384,8.85727605109003e-07
"KLHL4","NLK",0.154550256399049,9.4221153962553e-07
"KLHL4","AGK",0.154395802735823,9.66304482418238e-07
"KLHL4","SAMM50",0.154345068542781,9.74346822679819e-07
"KLHL4","RPL10L",0.15285800021727,1.24081508554427e-06
"KLHL4","DMRTA1",0.152395599742754,1.33706416319002e-06
"KLHL4","TXNIP",0.15177312677912,1.47801156685417e-06
"KLHL4","IL5RA",0.151642160426222,1.50943136710723e-06
"KLHL4","UTP14A",0.15162541355934,1.51349500431759e-06
"KLHL4","PLSCR1",0.15149356671181,1.54585658027306e-06
"KLHL4","FAM110C",0.151366148921236,1.57776150139287e-06
"KLHL4","YTHDC2",0.151073158579046,1.65354045264388e-06
"KLHL4","TMOD2",0.150961114612606,1.68343282772837e-06
"KLHL4","IGFBP1",0.150761123981876,1.73808219708488e-06
"KLHL4","TMEM182",0.150705663578578,1.75353627359072e-06
"KLHL4","DEPDC7",0.150590986537735,1.78591034531376e-06
"KLHL4","CACNG3",0.1503847312367,1.84558626147148e-06
"KLHL4","RNF10",0.150004074357029,1.96078163389532e-06
"KLHL4","MFAP3",0.14996973549879,1.97150595264993e-06
"KLHL4","DEF6",0.149941005304253,1.98052184531548e-06
"KLHL4","ITGA1",0.149769029013256,2.03532265151323e-06
"KLHL4","CAAP1",0.149454236934922,2.1394216038606e-06
"KLHL4","GOLPH3",0.149320334528645,2.18523298811307e-06
"KLHL4","DCDC1",0.149207699054196,2.22449543575296e-06
"KLHL4","GHITM",0.149106987636802,2.26017342509763e-06
"KLHL4","KIF3A",0.148822867317556,2.36380736722945e-06
"KLHL4","ZNF570",0.148795365466469,2.37407714899353e-06
"KLHL4","DNAJC25",0.148739130941323,2.3952096346919e-06
