"Gene1","Gene2","cor","pvalue"
"SUV39H1","ACTN2","8.37402044976433e-05","0.997892944399796"
"SUV39H1","C1orf127","8.01244475963508e-05","0.997983923211214"
"SUV39H1","PCDHB6","6.83770881661495e-05","0.998279507637527"
"SUV39H1","VHL","5.81212343346507e-05","0.998537563328263"
"SUV39H1","DHX8","4.5844459841229e-05","0.998846469208755"
"SUV39H1","SREK1IP1","3.52379374733917e-05","0.999113348661502"
"SUV39H1","KHDC1L","2.84159235125992e-05","0.999285003032687"
"SUV39H1","COX4I1","2.4040461521278e-05","0.999395097691412"
"SUV39H1","ADGRA3","2.06571130014502e-05","0.999480228961286"
"SUV39H1","DZIP3","1.99458734764905e-05","0.999498125056306"
"SUV39H1","P2RX2","1.54310377911038e-05","0.999611726634263"
"SUV39H1","SUV39H1","1","0"
"SUV39H1","SLC38A5","0.248318933987699","1.77910894187085e-15"
"SUV39H1","DOCK2","0.246824805443225","2.64865118230057e-15"
"SUV39H1","HLCS","0.235663619739121","4.76370038167715e-14"
"SUV39H1","PRDM1","0.234184502045976","6.9105457222918e-14"
"SUV39H1","ALAD","0.23250407431559","1.05131884399259e-13"
"SUV39H1","ALAS1","0.225790366767958","5.44067297427167e-13"
"SUV39H1","JADE2","0.223950114594415","8.46100184769987e-13"
"SUV39H1","NADK2","0.221564790604425","1.4910656581098e-12"
"SUV39H1","ELOVL5","0.221085808157747","1.66943986086253e-12"
"SUV39H1","UBN1","0.221005586293318","1.70129186387813e-12"
"SUV39H1","CTBP1","0.219765961916839","2.2761986600944e-12"
"SUV39H1","CT55","0.217630732210545","3.74294520209812e-12"
"SUV39H1","AK2","0.20706036538132","4.07121974265861e-11"
"SUV39H1","IRF4","0.205712085742221","5.47061510481382e-11"
"SUV39H1","GDI1","0.19874453821303","2.43886613958789e-10"
"SUV39H1","AFF1","0.196970210354658","3.53824232979585e-10"
"SUV39H1","MBNL1","0.196703447795535","3.74070681748332e-10"
"SUV39H1","TLR2","0.190338303491346","1.37897768148948e-09"
"SUV39H1","NEUROG2","0.189897384906553","1.5069420965191e-09"
"SUV39H1","F12","0.189726818362544","1.55948309074181e-09"
"SUV39H1","ARHGAP45","0.189530773869537","1.6220756823542e-09"
"SUV39H1","PENK","0.188735356691293","1.90207190841102e-09"
"SUV39H1","HMBS","0.182734856647775","6.18519269315447e-09"
