"Gene1","Gene2","cor","pvalue"
"SUV39H1","ITPKC","9.96130794242814e-06","0.999749355117705"
"SUV39H1","ARHGAP12","9.8548992922227e-05","0.997520329501137"
"SUV39H1","H3C10","9.59567608325693e-05","0.997585554536859"
"SUV39H1","KRTAP12-4","9.17945671029667e-05","0.997690282552019"
"SUV39H1","NR3C2","9.0449217778555e-05","0.99772413388363"
"SUV39H1","PGM2","8.47171736938344e-05","0.997868362138904"
"SUV39H1","PDP2","6.61848348853867e-05","0.998334668650784"
"SUV39H1","SRP68","5.67565279602195e-05","0.998571901802271"
"SUV39H1","CAMKMT","5.30060152786502e-05","0.998666271479844"
"SUV39H1","RABL3","3.98811361116538e-05","0.998996517299012"
"SUV39H1","SPAST","3.84116173185436e-05","0.999033493074968"
"SUV39H1","CKAP2","3.76204457149971e-05","0.999053400397937"
"SUV39H1","OSTF1","1.41773879080404e-05","0.999643270774867"
"SUV39H1","KRTAP13-2","1.24842557114395e-05","0.999685873100993"
"SUV39H1","CSNK1G2","1.14074719040111e-05","0.999712966966329"
"SUV39H1","NDUFAF5","1.00660162193268e-05","0.999746720464402"
"SUV39H1","SUV39H1","1","0"
"SUV39H1","ZMYM3","0.177610631044475","1.64202759590763e-08"
"SUV39H1","PSD2","0.175993017743478","2.2218012972248e-08"
"SUV39H1","BAHD1","0.171462462892264","5.10599838405008e-08"
"SUV39H1","KDM4A","0.168413806428987","8.82954251681036e-08"
"SUV39H1","ZNHIT1","0.157408251430638","5.87901582541601e-07"
"SUV39H1","CFAP65","0.15672085922803","6.59035676446338e-07"
"SUV39H1","ARID3C","0.155457787314883","8.11896568014427e-07"
"SUV39H1","PRR14","0.154959914182518","8.81074110840758e-07"
"SUV39H1","HNRNPD","0.154173138425739","1.00208225355641e-06"
"SUV39H1","ZCCHC2","0.153669265200879","1.08780571744361e-06"
"SUV39H1","ALAD","0.152661848381714","1.28080240001977e-06"
"SUV39H1","SH3BP1","0.152001140522496","1.42480172860959e-06"
"SUV39H1","SLC38A5","0.148868866447159","2.34672542411176e-06"
"SUV39H1","AK2","0.148574886638591","2.45796878768459e-06"
"SUV39H1","M1AP","0.147558968971554","2.88262839293666e-06"
"SUV39H1","HPS1","0.147341265833542","2.98236271829446e-06"
"SUV39H1","LYG1","0.14661280653712","3.34068186577277e-06"
"SUV39H1","MRPL30","0.146096019790593","3.61949991776544e-06"
"SUV39H1","PLD3","0.145387403190243","4.03823543532282e-06"
"SUV39H1","SDSL","0.143896009922646","5.07603722891883e-06"
"SUV39H1","FABP1","0.143005872145969","5.81221524486252e-06"
"SUV39H1","GEMIN7","0.142798320168442","5.9979862291215e-06"
"SUV39H1","COL17A1","0.141887798115533","6.8821255939491e-06"
"SUV39H1","C1QTNF2","0.141587653986875","7.19991482845631e-06"
