"cell_line_name","stripped_cell_line_name","CCLE_Name","alias","COSMICID","sex","source","RRID","WTSI_Master_Cell_ID","sample_collection_site","primary_or_metastasis","primary_disease","Subtype","age","Sanger_Model_ID","depmap_public_comments","lineage","lineage_subtype","lineage_sub_subtype","lineage_molecular_subtype","default_growth_pattern","model_manipulation","model_manipulation_details","patient_id","parent_depmap_id","Cellosaurus_NCIt_disease","Cellosaurus_NCIt_id","Cellosaurus_issues"
"BT-549","BT549","BT549_BREAST","",905951,"Female","ATCC","CVCL_1092",1835,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","72","SIDM00122","","breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_B","2D: adherent","","","PT-hgWgpg","","Invasive breast carcinoma of no special type","C4194",""
"SUM-102PT","SUM102PT","SUM102PT_BREAST","",NA,"Female","Asterand","CVCL_3421",NA,"breast","Primary","Breast Cancer","Carcinoma","57","","","breast","breast_carcinoma","ERneg_HER2neg","basal","2D: adherent","","","PT-UklPiT","","Breast carcinoma","C4872",""
"SUM-1315MO2","SUM1315MO2","SUM1315MO2_BREAST","",NA,"Female","Asterand","CVCL_5589",NA,"skin","Metastasis","Breast Cancer","Breast Ductal Carcinoma","","","","breast","breast_ductal_carcinoma","ERneg_HER2neg","basal","2D: adherent","","","PT-huyXeM","","Invasive breast carcinoma of no special type","C4194",""
"SUM-190PT","SUM190PT","SUM190PT_BREAST","",NA,"Female","Asterand","CVCL_3423",NA,"breast","Primary","Breast Cancer","Carcinoma","","","","breast","breast_carcinoma","ERneg_HER2pos","basal_A","2D: adherent","","","PT-Zd61pI","","Breast inflammatory carcinoma","C4001",""
"VP229","VP229","VP229_BREAST","VP229",NA,"Female","Sigma-Aldrich","CVCL_2754",NA,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","47","","","breast","breast_ductal_carcinoma","","","2D: adherent","","","PT-vA9Pcv","","Invasive breast carcinoma of no special type","C4194",""
"SK-BR-3","SKBR3","SKBR3_BREAST","",NA,"Female","ATCC","CVCL_0033",NA,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","43","SIDM00897","","breast","breast_carcinoma","ERneg_HER2pos","HER2_amp","2D: adherent","","","PT-8CE6ah","","Breast adenocarcinoma","C5214",""
"MCF7","MCF7","MCF7_BREAST","",905946,"Female","ATCC","CVCL_0031",588,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","69","SIDM00148","","breast","breast_carcinoma","ERpos_HER2neg","luminal","2D: adherent","","","PT-viJKnw","","Invasive breast carcinoma of no special type","C4194",""
"KPL-1","KPL1","KPL1_BREAST","",NA,"Female","DSMZ","CVCL_2094",NA,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","69","SIDM00147","SNP fingerprinting confirms that this line is an MCF-7 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.","breast","breast_carcinoma","ERpos_HER2neg","luminal","2D: adherent","","","PT-viJKnw","ACH-000019","Invasive breast carcinoma of no special type","C4194","Contaminated. Shown to be a MCF-7 derivative (PubMed=18304946; PubMed=20143388)."
"ZR-75-1","ZR751","ZR751_BREAST","",NA,"Female","ATCC","CVCL_0588",NA,"ascites","Metastasis","Breast Cancer","Breast Ductal Carcinoma","63","SIDM00314","","breast","breast_ductal_carcinoma","ERpos_HER2neg","luminal","2D: adherent","","","PT-k1TO7o","","Invasive breast carcinoma of no special type","C4194",""
"HCC1187","HCC1187","HCC1187_BREAST","",749711,"Female","ATCC","CVCL_1247",1644,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","41","SIDM00885","","breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_A","2D: mixed adherent and suspension","","","PT-yKJqsn","","Breast ductal carcinoma","C4017",""
"T-47D","T47D","T47D_BREAST","",905945,"Female","ATCC","CVCL_0553",1286,"pleural_effusion","Metastasis","Breast Cancer","Breast Ductal Carcinoma","54","SIDM00097","","breast","breast_ductal_carcinoma","ERpos_HER2neg","luminal","2D: adherent","","","PT-9WkxWW","","Invasive breast carcinoma of no special type","C4194",""
"Hs 578T","HS578T","HS578T_BREAST","",905957,"Female","ATCC","CVCL_0332",655,"breast","Primary","Breast Cancer","Carcinoma","74","SIDM00135","","breast","breast_carcinoma","ERneg_HER2neg","basal_B","2D: adherent","","","PT-sW6DWH","","Invasive breast carcinoma of no special type","C4194",""
"CAL-120","CAL120","CAL120_BREAST","",906826,"Female","DSMZ","CVCL_1104",1748,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","43","SIDM00940","","breast","breast_carcinoma","ERneg_HER2neg","basal_B","2D: adherent","","","PT-y6HadC","","Breast carcinoma","C4872",""
"HCC1937","HCC1937","HCC1937_BREAST","",749714,"Female","ATCC","CVCL_0290",936,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","24","SIDM00874","","breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_A","2D: adherent","","","PT-Vntr9y","","Breast ductal carcinoma","C4017",""
"AU565","AU565","AU565_BREAST","",910704,"Female","ATCC","CVCL_1074",726,"pleural_effusion","Metastasis","Breast Cancer","Adenocarcinoma","43","SIDM00898","","breast","breast_adenocarcinoma","ERneg_HER2pos","HER2_amp","2D: adherent","","","PT-8CE6ah","","Breast adenocarcinoma","C5214",""
"Du4475","DU4475","DU4475_BREAST","",906844,"Female","ATCC","CVCL_1183",302,"skin","Metastasis","Breast Cancer","Carcinoma","62","SIDM01001","","breast","breast_carcinoma","ERneg_HER2neg","luminal_HER2_amp","2D: suspension","","","PT-XTyUEa","","Breast carcinoma","C4872",""
"HCC38","HCC38","HCC38_BREAST","",749717,"Female","ATCC","CVCL_1267",1318,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","50","SIDM00675","","breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_A","2D: adherent","","","PT-S4bLNM","","Breast ductal carcinoma","C4017",""
"HCC1419","HCC1419","HCC1419_BREAST","",907045,"Female","ATCC","CVCL_1251",1551,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","42","SIDM00882","","breast","breast_ductal_carcinoma","ERpos_HER2pos","HER2_amp","","","","PT-osxHUh","","Breast ductal carcinoma","C4017",""
"EFM-19","EFM19","EFM19_BREAST","",906851,"Female","DSMZ","CVCL_0253",1786,"pleural_effusion","Metastasis","Breast Cancer","Breast Ductal Carcinoma","50","SIDM01056","","breast","breast_ductal_carcinoma","ERpos_HER2neg","luminal","","","","PT-ykXL80","","Breast ductal carcinoma","C4017",""
"HCC1428","HCC1428","HCC1428_BREAST","",1290905,"Female","ATCC","CVCL_1252",1567,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","49","SIDM00881","","breast","breast_carcinoma","ERpos_HER2neg","luminal","","","","PT-jBpXJh","","Breast adenocarcinoma","C5214",""
"HCC1143","HCC1143","HCC1143_BREAST","",749710,"Female","ATCC","CVCL_1245",1316,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","52","SIDM00866","","breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_A","2D: adherent","","","PT-UPBMOO","","Breast ductal carcinoma","C4017",""
